Join_Count,TARGET_FID,JOIN_FID,Join_Cou_1,TARGET_F_1,JOIN_FID_1,FID_,id,lat,lon,month,panoid,year,NEAR_FID,NEAR_DIST,NEAR_ANGLE,NEAR_X,NEAR_Y,FIRST_OBJE,FIRST_FID_,FIRST_OB_1,FIRST_LANE,FIRST_SPEE,FIRST_ONEW,FIRST_LABE,FIRST_Bike,FIRST_Road,Seg_id,Seg_Time_i,OBJECTID,LANE
1,116,9,1,116,211,116,5db726849b5b96ae4927a11a,39.95397644000,-82.99454088000,11,tuGFm9FNEnD0MuO6y_ZNgw,2015,4722,0.00002360000,-141.75594750000,-82.99455944000,39.95396181000,73,71,35549.00000000000,2,35,,S 4Th St,3,4Th St,9,9_2015_11,7800,1
1,117,124,1,117,211,117,5db726849b5b96ae4927a11b,39.95396825000,-82.99459132000,8,_qR3upsvxgsBG69rKDRYCw,2016,13667,0.00000089200,95.37075525000,-82.99459140000,39.95396913000,70,209,64339.00000000000,2,25,WB,E Fulton St,2,Fulton St,124,124_2016_8,7800,1
1,118,127,1,118,217,118,5db726849b5b96ae4927a120,39.95495504000,-82.99654520000,8,Gh6_8mQQwfshyqJqyQe7uA,2015,3412,0.00003340000,11.02908647000,-82.99651238000,39.95496143000,87,17,30008.00000000000,3,35,SB,S 3Rd St,3,3Rd St,127,127_2015_8,7844,1
1,119,127,1,119,217,119,5db726849b5b96ae4927a121,39.95495165000,-82.99656247000,8,n_tvN2Q9V4G7TbqXs-wHZg,2016,3412,0.00005100000,11.02908646000,-82.99651238000,39.95496142000,87,17,30008.00000000000,3,35,SB,S 3Rd St,3,3Rd St,127,127_2016_8,7844,1
1,120,127,1,120,217,120,5db726849b5b96ae4927a122,39.95500036000,-82.99657147000,8,vn7VAyPcrK-KINUi4lLjqA,2017,3412,0.00005050000,11.02908647000,-82.99652186000,39.95501003000,87,17,30008.00000000000,3,35,SB,S 3Rd St,3,3Rd St,127,127_2017_8,7844,1
1,121,127,1,121,217,121,5db726849b5b96ae4927a127,39.95486567000,-82.99651899000,8,r6eHRnH0Rq10S2kL_Jtt2w,2015,3412,0.00002480000,11.02908646000,-82.99649464000,39.95487042000,87,17,30008.00000000000,3,35,SB,S 3Rd St,3,3Rd St,127,127_2015_8,7844,1
1,122,127,1,122,217,122,5db726849b5b96ae4927a128,39.95483247000,-82.99654073000,8,tDHrPSaYRajLsBQu4kSpXw,2016,3412,0.00005250000,11.02908647000,-82.99648920000,39.95484251000,87,17,30008.00000000000,3,35,SB,S 3Rd St,3,3Rd St,127,127_2016_8,7844,1
1,123,127,1,123,217,123,5db726849b5b96ae4927a129,39.95490761000,-82.99655381000,8,hx4tQfMODHPVp6RwExFL1w,2017,3412,0.00005100000,11.02908647000,-82.99650379000,39.95491736000,87,17,30008.00000000000,3,35,SB,S 3Rd St,3,3Rd St,127,127_2017_8,7844,1
1,124,127,1,124,217,124,5db726849b5b96ae4927a12c,39.95477689000,-82.99649281000,8,kVexJGY3ca9T-RRZJydTOg,2015,3412,0.00001610000,11.02908648000,-82.99647701000,39.95477997000,87,17,30008.00000000000,3,35,SB,S 3Rd St,3,3Rd St,127,127_2015_8,7844,1
1,125,127,1,125,217,125,5db726849b5b96ae4927a12d,39.95481345000,-82.99653591000,8,yS8NrDXngXJPlcKko24r6w,2017,3412,0.00005140000,11.02908646000,-82.99648546000,39.95482329000,87,17,30008.00000000000,3,35,SB,S 3Rd St,3,3Rd St,127,127_2017_8,7844,1
1,144,137,1,144,217,144,5db726849b5b96ae4927a15e,39.95633993000,-82.99682300000,8,F9Q2kyOV9cbT_horBzFXcg,2015,3493,0.00003760000,10.70283916000,-82.99678607000,39.95634691000,111,20,30038.00000000000,4,35,SB,S 3Rd St,3,3Rd St,137,137_2015_8,7844,1
1,145,137,1,145,217,145,5db726849b5b96ae4927a15f,39.95634647000,-82.99677995000,11,scBL9XO7c_ZLDPGXLHkinw,2015,3493,0.00000593000,-169.29716090000,-82.99678578000,39.95634537000,111,20,30038.00000000000,4,35,SB,S 3Rd St,3,3Rd St,137,137_2015_11,7844,1
1,146,137,1,146,217,146,5db726849b5b96ae4927a160,39.95634354000,-82.99683547000,8,kP6q34ta70RxcFZUhlTE1g,2016,3493,0.00004920000,10.70283916000,-82.99678716000,39.95635267000,111,20,30038.00000000000,4,35,SB,S 3Rd St,3,3Rd St,137,137_2016_8,7844,1
1,147,137,1,147,217,147,5db726849b5b96ae4927a161,39.95632355000,-82.99681763000,8,G52fgcTH-TTe7Iw_MKg_2Q,2017,3493,0.00003530000,10.70283916000,-82.99678289000,39.95633012000,111,20,30038.00000000000,4,35,SB,S 3Rd St,3,3Rd St,137,137_2017_8,7844,1
1,149,137,1,149,217,149,5db726849b5b96ae4927a166,39.95624982000,-82.99680483000,8,gPo4lHxTYx_kEvR6cJIwXg,2015,3493,0.00003650000,10.70283916000,-82.99676900000,39.95625659000,111,20,30038.00000000000,4,35,SB,S 3Rd St,3,3Rd St,137,137_2015_8,7844,1
1,151,137,1,151,217,151,5db726849b5b96ae4927a168,39.95624801000,-82.99679759000,8,fmhDxyEHXX3jhBk1Clbgng,2016,3493,0.00002970000,10.70283916000,-82.99676842000,39.95625353000,111,20,30038.00000000000,4,35,SB,S 3Rd St,3,3Rd St,137,137_2016_8,7844,1
1,152,137,1,152,217,152,5db726849b5b96ae4927a169,39.95621933000,-82.99679923000,8,r12tsyLh7K4halxurzRQ3A,2017,3493,0.00003660000,10.70283915000,-82.99676324000,39.95622614000,111,20,30038.00000000000,4,35,SB,S 3Rd St,3,3Rd St,137,137_2017_8,7844,1
1,154,137,1,154,217,154,5db726849b5b96ae4927a170,39.95615827000,-82.99678694000,8,l-LDILSBT2Mj_Uu04QnXpg,2015,3493,0.00003590000,10.70283916000,-82.99675167000,39.95616494000,111,20,30038.00000000000,4,35,SB,S 3Rd St,3,3Rd St,137,137_2015_8,7844,1
1,157,250,1,157,148,157,5db726849b5b96ae4927a174,39.96676628000,-82.99648818000,8,tSTydGliNpo41gJsSvoOFw,2015,3569,0.00002570000,-89.93392286000,-82.99648815000,39.96674062000,452,19,30028.00000000000,4,35,WB,E Spring St,2,Spring St,250,250_2015_8,4775,1
1,158,250,1,158,148,158,5db726849b5b96ae4927a175,39.96676787000,-82.99650640000,8,34Nz3ruLIzdXNTA3XzxXkA,2016,3569,0.00002700000,-96.53727319000,-82.99650947000,39.96674108000,452,19,30028.00000000000,4,35,WB,E Spring St,2,Spring St,250,250_2016_8,4775,1
